observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
5478.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1980.0,1980.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Holiday,Holiday,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
2565.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1980.0,1980.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Business,Business,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
2319.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1980.0,1980.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Visiting friends,Visiting friends,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
2058.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1980.0,1980.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Miscellaneous,Miscellaneous,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
12421.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1980.0,1980.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Total,Total,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
5037.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1981.0,1981.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Holiday,Holiday,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
2453.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1981.0,1981.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Business,Business,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
2287.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1981.0,1981.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Visiting friends,Visiting friends,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
1675.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1981.0,1981.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Miscellaneous,Miscellaneous,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
11452.0,,Visit,,Count,,,,,1000,Visits (Thousands),,,,,,,1981.0,1981.0,,Year,,Overseas Residents,Overseas Residents,,,,,,,,,,,,Category,Category,,Total,Total,,,,Output,Output,,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,Overseas residents’ visits and spending in the UK: by purpose of visit 1980 to 2014,,,
