observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4
39.0,,,,Number,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
6246.0,,,,Value,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
12.0,,,,Number,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
1923.0,,,,Value,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
15.0,,,,Number,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
6039.0,,,,Value,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
66.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
7524.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
49.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
4038.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
10.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
226.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
25.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
3260.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
49.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
5139.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
29.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
1485.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
9.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
682.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
15.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
2972.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
38.0,,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
7820.0,,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
32.0,,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
6572.0,,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
,–,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
,–,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Repayment of Loan to Foreign Parent,Repayment of Loan to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
7.0,,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
1248.0,,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Retained in the UK,Funds Retained in the UK,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
58.0,,,,Number,,,,,,,,,,,,,2010³,2010³,,,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
9891.0,,,,Value,,,,,,,,,,,,,2010³,2010³,,,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Value,Value,,,
43.0,,,,Number,,,,,,,,,,,,,2010³,2010³,,,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly to Foreign Parent,Funds Paid Directly to Foreign Parent,,,,Category,Category,,Disposals in the UK by Foreign Companies: Funds Realised,Disposals in the UK by Foreign Companies: Funds Realised,,,,Measure,Measure,,Number,Number,,,
